objectid,filename,youtubeid,vimeoid,title,creator,contributor,date,date_created,publication,description,subject,location,latitude,longitude,source,type,format,language,rights,rightsstatement
coll001,they_can_see_your_name_in_my_eyes.mp3,,,They Can See Your Name in My Eyes Recording,Hoagy Carmichael,Hoagy Carmichael,1950,1950-1960,1958,Audio tape recording of Hoagy Carmichael's They Can See Your Name in My Eyes.,recording,california,,,86-741-F,0:02:34,audio/mp3,eng,The Hoagy Carmichael Private Tapes Collection @ 2022 by Wayne Hastings is licensed under CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/
coll002,they_can_see_your_name_in_my_eyes_lyrics.jpeg,,,They Can See Your Name in My Eyes Lyrics,Hoagy Carmichael,Hoagy Carmichael,1950,,1958,Lyric sheet of Hoagy Carmichael's They Can See Your Name in My Eyes. ,lyrics,california,,,,,image/jpeg,eng,The Hoagy Carmichael Private Tapes Collection @ 2022 by Wayne Hastings is licensed under CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/
coll003,thirty_days_hath_september.mp3,,,Thirty Days Hath September Recording,Hoagy Carmichael,Hoagy Carmichael,1950,1950-1960,1957,Audio tape recording of Hoagy Carmichael's Thirty Days Hath September.,recording,california,,,86-741-F,0:01:47,audio/mp3,eng,The Hoagy Carmichael Private Tapes Collection @ 2022 by Wayne Hastings is licensed under CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/
coll004,too_wet_to_plow.mp3,,,Too Wet To Plow Recording,Hoagy Carmichael,Floyd Huddleson,1950,1950-1960,unpublished,Audio tape recording of Hoagy Carmichael's Too Wet To Plow.,recording,california,,,86-741-F,0:00:51,audio/mp3,eng,The Hoagy Carmichael Private Tapes Collection @ 2022 by Wayne Hastings is licensed under CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/
coll005,too_wet_to_plow_lyrics.jpeg,,,Too Wet To Plow Lyrics,Hoagy Carmichael,Floyd Huddleson,1950,,unpublished,Lyric sheet of Hoagy Carmichael's Too Wet To Plow.,lyrics,california,,,,,image/jpeg,eng,The Hoagy Carmichael Private Tapes Collection @ 2022 by Wayne Hastings is licensed under CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/
coll006,any_similarity.mp3,,,Any Similarity Recording,Hoagy Carmichael,Johnny Mercer,1960,1960-1970,unpublished,Audio tape recording of Hoagy Carmichael's Any Similarity.,recording,california,,,86-749-F,0:01:15,audio/mp3,eng,The Hoagy Carmichael Private Tapes Collection @ 2022 by Wayne Hastings is licensed under CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/
coll007,there_goes_another_pal.mp3,,,There Goes Another Pal Recording,Hoagy Carmichael,Hoagy Carmichael,1960,1960-1970,1963,Audio tape recording of Hoagy Carmichael's There Goes Another Pal.,recording,california,,,86-749-F,0:01:47,audio/mp3,eng,The Hoagy Carmichael Private Tapes Collection @ 2022 by Wayne Hastings is licensed under CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/
coll008,coronation_queen_waltz.mp3,,,Coronation Queen Waltz Recording,Hoagy Carmichael,Hoagy Carmichael,1966,1966,unpublished,Audio tape recording of Hoagy Carmichael's Coronation Queen Waltz.,recording,california,,,86-750-F,0:01:31,audio/mp3,eng,The Hoagy Carmichael Private Tapes Collection @ 2022 by Wayne Hastings is licensed under CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/
coll009,jack_o_lantern.mp3,,,Jack-O-Lantern Recording,Hoagy Carmichael,Johnny Mercer,1966,1966,unpublished,Audio tape recording of Hoagy Carmichael's Jack-O-Lantern. ,recording,california,,,86-750-F,0:02:21,audio/mp3,eng,The Hoagy Carmichael Private Tapes Collection @ 2022 by Wayne Hastings is licensed under CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/
coll010,jack_o_lantern_lyrics.jpeg,,,Jack-O-Lantern Lyrics,Hoagy Carmichael,Johnny Mercer,1966,,unpublished,Lyric sheet of Hoagy Carmichael's Jack-O-Lantern.,lyrics,california,,,,,image/jpeg,eng,The Hoagy Carmichael Private Tapes Collection @ 2022 by Wayne Hastings is licensed under CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/
coll011,heck_with_it.mp3,,,Heck with It Recording,Hoagy Carmichael,Hoagy Carmichael,1966,1966,unpublished,Audio tape recording of Hoagy Carmichael's Heck with It.,recording,california,,,86-750-F,0:01:16,audio/mp3,eng,The Hoagy Carmichael Private Tapes Collection @ 2022 by Wayne Hastings is licensed under CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/
coll012,heck_with_it_lyrics.jpeg,,,Heck with It Lyrics,Hoagy Carmichael,Hoagy Carmichael,1966,,unpublished,Lyric sheet of Hoagy Carmichael's Heck with It,lyrics,california,,,,,image/jpeg,eng,The Hoagy Carmichael Private Tapes Collection @ 2022 by Wayne Hastings is licensed under CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/
coll013,my_resistance_is_low.mp3,,,My Resistance Is Low Recording,Hoagy Carmichael,Harold Adamson,1966,1966,1951,Audio tape recording of Hoagy Carmichael's My Resistance Is Low.,recording,california,,,86-750-F,0:01:16,audio/mp3,eng,The Hoagy Carmichael Private Tapes Collection @ 2022 by Wayne Hastings is licensed under CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/
coll014,my_resistance_is_low_lyrics.jpeg,,,My Resistance Is Low Lyrics,Hoagy Carmichael,Harold Adamson,1966,,1951,Lyric sheet of Hoagy Carmichael's My Resistance Is Low. ,lyrics,california,,,,,image/jpeg,eng,The Hoagy Carmichael Private Tapes Collection @ 2022 by Wayne Hastings is licensed under CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/
coll015,serenade_to_gabriel.mp3,,,Serenade to Gabriel Recording,Hoagy Carmichael,Hoagy Carmichael;Vick Knight,1960,1960-1970,1957,Audio tape recording of Hoagy Carmichael's Serenade to Gabriel.,recording,california,,,86-753-F,0:02:23,audio/mp3,eng,The Hoagy Carmichael Private Tapes Collection @ 2022 by Wayne Hastings is licensed under CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/
coll016,under_the_monkey_pod_tree.mp3,,,Under the Monkey Pod Tree Recording,Hoagy Carmichael,Hoagy Carmichael,1960,1960-1970,1960,Audio tape recording of Hoagy Carmichael's Under the Monkey Pod Tree.,recording,california,,,86-753-F,0:02:18,audio/mp3,eng,The Hoagy Carmichael Private Tapes Collection @ 2022 by Wayne Hastings is licensed under CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/
coll017,under_the_monkey_pod_tree_lyrics.jpeg,,,Under the Monkey Pod Tree Lyrics,Hoagy Carmichael,Hoagy Carmichael,1960,,1960,Lyric sheet of Hoagy Carmichael's Under the Monkey Pod Tree.,lyrics,california,,,,,image/jpeg,eng,The Hoagy Carmichael Private Tapes Collection @ 2022 by Wayne Hastings is licensed under CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/
coll018,youre_for_real.mp3,,,You’re for Real Recording,Hoagy Carmichael,Hoagy Carmichael,1960,1960-1970,unpublished,Audio tape recording of Hoagy Carmichael's You're for Real.,recording,california,,,86-753-F,0:01:36,audio/mp3,eng,The Hoagy Carmichael Private Tapes Collection @ 2022 by Wayne Hastings is licensed under CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/
coll019,youre_for_real_lyrics.jpeg,,,You’re for Real Lyrics,Hoagy Carmichael,Hoagy Carmichael,1960,,unpublished,Lyric sheet of Hoagy Carmichael's You're For Real.,lyrics,california,,,,,image/jpeg,eng,The Hoagy Carmichael Private Tapes Collection @ 2022 by Wayne Hastings is licensed under CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/
coll020,tijuana_brass_tango.mp3,,,Tijuana Brass Tango Recording,Hoagy Carmichael,,1960,1960-1970,unpublished,Audio tape recording of Hoagy Carmichael's Tijuana Brass Band.,recording,california,,,86-765-F,0:00:43,audio/mp3,eng,The Hoagy Carmichael Private Tapes Collection @ 2022 by Wayne Hastings is licensed under CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/
coll021,big_town_blues.mp3,,,Big Town Blues Recording,Hoagy Carmichael,Hoagy Carmichael,1960,1960-1970,1962,Audio tape recording of Hoagy Carmichael's Big Town Blues. ,recording,california,,,86-765-F,0:01:39,audio/mp3,eng,The Hoagy Carmichael Private Tapes Collection @ 2022 by Wayne Hastings is licensed under CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/
coll022,big_town_blues_lyrics.jpeg,,,Big Town Blues Lyrics,Hoagy Carmichael,Hoagy Carmichael,1960,,1962,Lyric sheet of Hoagy Carmichael's Big Town Blues.,lyrics,california,,,,,image/jpeg,eng,The Hoagy Carmichael Private Tapes Collection @ 2022 by Wayne Hastings is licensed under CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/
coll023,perfect_paris_night.mp3,,,Perfect Paris Night Recording,Hoagy Carmichael,Hoagy Carmichael;Johnny Mercer,1960,1960-1970,unpublished,Audio tape recording of Hoagy Carmichael's Perfect Paris Night.,recording,california,,,86-765-F,0:01:49,audio/mp3,eng,The Hoagy Carmichael Private Tapes Collection @ 2022 by Wayne Hastings is licensed under CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/
coll024,perfect_paris_night_lyrics.jpeg,,,Perfect Paris Night Lyrics,Hoagy Carmichael,Hoagy Carmichael;Johnny Mercer,1960,,unpublished,Lyric sheet of Hoagy Carmichael's Perfect Paris Night.,lyrics,california,,,,,image/jpeg,eng,The Hoagy Carmichael Private Tapes Collection @ 2022 by Wayne Hastings is licensed under CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/
coll025,yabba_dabba_dabba_dabba_do.mp3,,,Yabba Dabba Dabba Dabba Do Recording,Hoagy Carmichael,Hoagy Carmichael,1960,1960-1970,1961,Audio tape recording of Hoagy Carmichael's Yabba Dabba Dabba Dabba Do. ,recording,california,,,86-749-F,0:00:43,audio/mp3,eng,The Hoagy Carmichael Private Tapes Collection @ 2022 by Wayne Hastings is licensed under CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/